buyin;code;name;unit;size;cost;price;tax
6014;626;Shpz.postare e telekom.;;0;0;0;0.2
6015;613;Qera;;0;0;0;0
6016;613;Qera;;0;0;0;0
6017;2182;Pajisje zyre dhe informatike;;0;0;0;0.2
6018;CEL7342;CELULAR.HUAWEI ASCEND Y530 ITA WHITE ,HUAY530ITAWH;COP;1;80;80;0.2
6018;CEL7341;CELULAR.HUAWEI ASCEND Y530 ITA BLACK ,HUAY530ITABK;COP;3;80;80;0.2
6018;CEL9058;CELULAR.BLACKBERRY Z3 STJ100-1;COP;2;165;165;0.2
6018;TAB9059;TABLET.HUAWEI S10-201U ,WIFI,3G;COP;2;158.335;158.335;0.2
6018;TAB5157;TABLET.INNO-HIT IHA-C0709 ,7'',4GB,WIFI;COP;2;58.335;58.335;0.2
6019;624;Reklame, publicitet/Euro;;0;0;0;0.2
6020;624;Reklame, publicitet/Euro;;0;0;0;0
6021;624;Reklame, publicitet/Euro;;0;0;0;0
6619;SO9647;SO.INDESIT KN3M21(W)/EX;COP;2;140;140;0.2
6023;6271;Transporte per blerje/Euro;;0;0;0;0
6024;SO9063;SO.FRAT-ONO C6622 FEN ,2G+2K ,e zeze;COP;160;100;100;0.2
6025;LV6505;LVT.PANASONIC NA-107VC5WGN ,1000XH,7KG;COP;30;178.4;178.4;0.2
6025;LV9064;LVT.PANASONIC NA-127VB5WGN ,7KG,1200XH;COP;5;179.652;179.652;0.2
6025;LV9064;LVT.PANASONIC NA-127VB5WGN ,7KG,1200XH;COP;5;239.536;239.536;0.2
6025;BB6876;BERESE BUKE.PANASONIC SD-ZB2502BXE;COP;1;113;113;0.2
6025;HIFI9065;SISTEM.PANASONIC SC-HTB170EGK ,SPEAKER SYSTEM;COP;2;119;119;0.2
6025;HE4684;HEKUR.PANASONIC NI-W920AVXA,2400W,avull;COP;20;34.7;34.7;0.2
6025;TV8543;LED.PANASONIC TX-50A400E;COP;5;348.4;348.4;0.2
6025;TV6503;LED.PANASONIC TX-32A300E ,HD;COP;30;167.9333;167.9333;0.2
6031;ZGJ5762;ZGJATUES.PRIZA FAEG ,FG19501 ,16A+T+6,3 SCHUKO;COP;5;440;440;0.2
6058;6271;Transporte per blerje/Euro;;0;0;0;0.2
6028;KO9027;KOND.ELECTROLUX EXI18HL1WE1,INV,18 BTU;COP;2;71240;71240;0.2
6028;KO9027;KOND.ELECTROLUX EXI18HL1WE1,INV,18 BTU;COP;3;49280;49280;0.2
6028;FU9061;FU.ELECTROLUX EOC 6841 AAW ,e bardhe;COP;1;34600;34600;0.2
6029;FR9067;FR.ZOPPAS SPFP18400;COP;1;33350;33350;0.2
6619;SO9648;SO.INDESIT KN6E76A(W)/GR;COP;15;140;140;0.2
6031;ZGJ5765;ZGJATUES.PRIZA FAEG FG19805 ,5V+CELES+KAB 1.5M;COP;10;504;504;0.2
6031;ZGJ7481;ZGJATUES.FAEG FG19500 ,9 VENDE ,1.5M KAB;COP;5;677;677;0.2
6031;ZGJ5761;ZGJATUES.PRIZA FAEG FG19807 ,7V+CELES+KABELL 1.5M,;COP;5;565;565;0.2
6032;FR8137;COMB.OQEAN CNF 390 GW,300L,NF,DISPL,XHAM BARDHE;COP;20;300;300;0.2
6032;FR8138;COMB.OQEAN CNF 390 GB ,300L,NF,DISPL,XHAM I ZI;COP;50;300;300;0.2
6032;FR9066;COMB.OQEAN CNF 390 GS 300L,NF,DISPL,XHAM,SILVER;COP;2;300;300;0.2
6033;TV9034;LED.TREVI 4001HD00 ,LTV 4001 FHD;COP;60;177;177;0.2
6033;TAB8395;TABLET.TREVI TAB 7 3G S8 ,DUALCORE,7'',BLACK,0T07GS00;COP;30;54.13;54.13;0.2
6033;CEL8610;CELULAR.TREVI SMARTPHONE 4 B,DUALCORE,4'',BLACK,0SM40B00;COP;10;47.06;47.06;0.2
6033;KUF9075;KUFJE.TREVI ZIP 681 M ,EARPHONE+MIKROFON ,0068100;COP;20;3.7;3.7;0.2
8595;FR6926;FR.SMEG FD541MNED ,498 L;COP;3;564.3;564.3;0.2
8595;FU6933;FU.SMEG SF750PO;COP;3;384.6166;384.6166;0.2
8595;FU6938;FU.SMEG SF465N;COP;10;183.546;183.546;0.2
8595;FU6934;FU.SMEG SFP109 ,INOX;COP;4;302.94;302.94;0.2
8595;PN6954;PIAN.SMEG SE660X1 ,4 K ,QERAMIK;COP;5;232.65;232.65;0.2
8595;PN6957;PIAN.SMEG SE2640TD2 ,4 K ,QERAMIK;COP;3;156.8166;156.8166;0.2
8595;PN7516;PIAN.SMEG SE2641TC2 ,K ,QERAMIK;COP;3;223.74;223.74;0.2
8595;LV6965;LVT.SMEG WM127IN ,7KG,1200XH ,A+B;COP;10;210.276;210.276;0.2
8595;LV9074;LVT.SMEG WHT912EIT ,9KG ,1200 XH ,A++;COP;10;241.461;241.461;0.2
8595;A6940;ASP.90cm SMEG KC90AO;COP;1;398.97;398.97;0.2
8596;TV8813;3D LED.PHILIPS 42PFT6309 ,FHD,200HZ,SMART,3HDMI,2USB;COP;15;267.638;267.638;0.2
8596;TV8810;3D LED.LG 42LB652V ,SMART,FHD,3HDMI,2USB,500MCI;COP;10;342.686;342.686;0.2
8596;TV8800;LED.SAMSUNG UE32H5303 ,FHD,100HZ,2HDMI,2USB,SMART;COP;10;216.844;216.844;0.2
8596;TV9077;LED.PHILIPS 40PFH4009 ,FHD,100HZ,2HDMI,USB;COP;15;249.5453;249.5453;0.2
8596;TAB8908;TABLET.SAMSUNG T530W ,10'',WIFI,AND 4.4 ,QUADCORE ,1.2GHZ;COP;6;190.2783;190.2783;0.2
8596;TAB8360;TABLET.ASUS ME70C1B007A ,7'',WIFI,AND4.3 ,8GB,WHITE;COP;15;77.6673;77.6673;0.2
8596;CEL9076;CELULAR.HUAWEI Y550 ,QUADCORE,4.5'',5MP;COP;5;102.528;102.528;0.2
8596;CEL7710;CELULAR.SAMSUNG I9301B ,S3 NEO SMART AND4.4 4.8'',BLU;COP;6;157.0283;157.0283;0.2
8596;CEL9078;CELULAR.SAMSUNG G357 ,AND 4.4.2 ,QUADCORE,5'';COP;3;130.24;130.24;0.2
8085;TAB10383;TABLET.TREVI TAB 7 C16 ,NERO ,0T07C1600;COP;60;34;34;0.2
6036;FU6266;FURRA.DELONGHI  PMX 6, inox,6funk;COP;20;160;160;0.2
6036;FU6267;FURRA.DELONGHI BMA 8 e zeze,touch;COP;20;190;190;0.2
6036;FU6468;FU.DELONGHI CM 9 AV ,AVENA;COP;20;185;185;0.2
6036;FU6466;FU.DELONGHI SMX 6 ,INOX;COP;20;152;152;0.2
6036;FU6467;FU.DELONGHI SMN 6 ,E ZEZE;COP;20;152;152;0.2
6036;FU6268;FURRA.DELONGHI SMS 6, xham.pasq,6funk;COP;40;155;155;0.2
6036;PN6471;PIAN.DELONGHI PVC 60 M;COP;40;132;132;0.2
6036;SO6472;SO.DELONGHI DMX 664 V ,qeramik;COP;10;330;330;0.2
6037;ST8834;STUFA.DCG GH01 , me Gas;COP;10;38;38;0.2
6037;SHTR6532;SHTRYDHESE.DCG ZP3364 ,agrume;COP;20;5;5;0.2
6037;PERZ5229;PERZIERES.DCG HM9811 mixer,xhytes;COP;30;5;5;0.2
6037;HE4056;HEKUR.DCG  DB8000 ,2300W,kaldaje;COP;50;19;19;0.2
6037;HE6853;HEKUR.DCG DB8010 ,1800W;COP;50;5;5;0.2
6037;TO5236;TOST.DCG ST2550 ,mini bistechiera;COP;40;5;5;0.2
6037;MF5945;MINI FURRE.DCG MB9830N,30 Lit,2 plitka;COP;15;35;35;0.2
6038;CEL8510;CELULAR.NOKIA LUMIA 530 ITA WHITE NOK530ITAW;COP;6;66;66;0.2
6038;CEL9070;CELULAR.NOKIA LUMIA 530 ITALIA GRY ,NOK530ITAGRY;COP;6;66;66;0.2
6038;CEL9071;CELULAR.NOKIA LUMIA 530 IT GREEN ,NOK530ITAGRN;COP;5;66;66;0.2
6038;TAB8035;CELULAR.MEDIACOM DUO S501 ,ORANGE,MEDPPDS501OR,PHONEPAD;COP;10;109;109;0.2
6038;CEL9072;CELULAR.LG D320N L70 ITA BLACK ,LGD320NITABK;COP;5;89;89;0.2
6038;CEL9073;CELULAR.LG D320N L70 ITA WHITE ,LGD320NITAW;COP;3;89;89;0.2
6038;CEL8819;CELULAR.HUAWEI ASCEND G7 ITALIA WHITE ,HUAG7ITAWH;COP;3;215;215;0.2
6039;617;STUDIME DHE KERKIME;;0;0;0;0.2
6027;6271;Transporte per blerje;;0;0;0;0
6041;626;Shpz.postare e telekom.;;0;0;0;0.2
6042;626;Shpz.postare e telekom.;;0;0;0;0.2
6055;6271;Transporte per blerje/Euro;;0;0;0;0.2
6030;617;STUDIME DHE KERKIME;;0;0;0;0.2
6043;NAFTE6242;NAFTE;COP;2000;133.3325;133.3325;0.2
6044;624;Reklame, publicitet;;0;0;0;0
6045;624;Reklame, publicitet;;0;0;0;0.2
6046;624;Reklame, publicitet;;0;0;0;0.2
6047;BAT8990;BATER.ENERGIZER CLASSIC 44 LR FSB4+2 ,635358;COP;12;250.6666;250.6666;0.2
6047;BAT8989;BATERI.ENERGIZER BASE 44 FSB4 3+1 CEE ,638380;COP;12;235;235;0.2
6047;BAT7756;BATERI.ENERGY ENR LITHIUM CR2032 FSB1 ,635801;COP;12;137.0833;137.0833;0.2
6048;FU9081;FU.FRAT-ONO XPI 6531 CX;COP;120;100;100;0
6048;FU9082;FU.FRAT-ONO OFG 6141 CX;COP;120;108;108;0.2
6048;PN9083;PIAN.FRAT-ONO PKQ 631 GH;COP;100;59;59;0
6049;608;Te tjera;;0;0;0;0
6040;624;Reklame, publicitet;;0;0;0;0.2
6050;616;SIGURIME;;0;0;0;0.2
6051;NAFTE6242;NAFTE;COP;2563;128.3332;128.3332;0.2
6052;616;SIGURIME;;0;0;0;0.2
6053;616;SIGURIME;;0;0;0;0.2
6056;618;Te ndryshme;;0;0;0;0.2
6057;618;Te ndryshme;;0;0;0;0
6059;613;Qera;;0;0;0;0
6066;TAB9116;TABLET.INNO-HIT ,IHA-C0708 ,7'' ,WIFI;COP;15;31.58;31.58;0
6066;TAB8663;TABLET.BLAUPUNKT BKA-C1004 ,10'',SUPORT 3G;COP;9;42;42;0.2
6066;TAB8669;TABLET.INNO-HIT IHA-C0925 ,9''.WIFI,DUALCORE;COP;1;42;42;0.2
6062;USB7857;USB.VERBATIM USB 2.0 DRIVE 8GB STORE N STAY NANO ,SBNN0200;COP;10;710.2;710.2;0.2
6062;USB9084;USB.VERBATIM FLASH DRIVE ,8 GB ,SLIDER BLACK ,SBNN1200;COP;15;430.5333;430.5333;0
6062;USB8162;USB.TRANSCEND 16GB ,JETFLASH 500 ,GREEN ,SBNZ0434;COP;10;1021.4;1021.4;0.2
6062;USB7849;USB.VERBATIM USB 2.0 DRIVE 16GB VOLCANIC ORANGE,SBNN0050;COP;2;969;969;0.2
6062;USB9085;USB.VERBATIM ,FLASH DRIVE ,32 GB,PINSTRIPE,BLACK;COP;6;1260;1260;0
6062;TAST7874;TASTIER.GENIUS KB-8005 ,WIRELES ,TAST+MAUS ,SBBT0068;COP;15;1550.2666;1550.2666;0.2
6063;FU6935;FU.SMEG SFP109N;COP;5;296.6;296.6;0.2
6063;PN6957;PIAN.SMEG SE2640TD2 ,4 K ,QERAMIK;COP;10;158.4;158.4;0.2
6063;FR9080;FR.SMEG FAB28RAZ1;COP;1;526;526;0.2
6063;LS6959;LVST.SMEG STA6247D9;COP;2;318;318;0.2
6063;FR6925;FR.SMEG FD43PMNF;COP;1;428;428;0.2
6063;PJ9129;PJESE KEMBIMI.SMEG ELECTRONIC UNIT;COP;1;69;69;0
6063;ART9128;ARTIKUJ TE NDRYSHEM;COP;20;1;1;0
6064;LV6388;LVT.ARISTON ARF 105 (AUS) ,7KG,1000XH;COP;5;149.86;149.86;0.2
6064;LV9086;LVT.ARISTON AQ104F 29 EU ,1200 XH,10 KG;COP;9;269.1;269.1;0
6064;LV9089;LVT.ARISTON AQM9D 29 U (EX) 60HZ,1200XH,(9L+6TH);COP;1;318;318;0
6064;LV8188;LVT.INDESIT IWSC 51051 ECO (UK) ,5KG,1000XH,A+;COP;2;131;131;0.2
6064;LV9090;LVT.ARISTON AQ9L 29 U.1 (AUS) ,1600XH ,10KG;COP;17;241;241;0
6064;LV9092;LVT.HOTPOINT WMUD 10637P UK ,1600XH,10KG;COP;1;268;268;0
6064;LV7964;LVT.ARISTON AQ114F 49D E UK ,11KG ,1400XH,A+++;COP;3;350;350;0.2
6064;LV6272;LVT.HOTPOINT WMFG 1053P UK 10kg,1500xh;COP;1;215;215;0.2
6064;LV9093;LVT.INDESIT XWDE 961480X WKKK UK ,1400XH,(9L+6TH);COP;5;225;225;0
6064;LV8053;LVT.ARISTON AQ92D 497 EX;COP;6;224;224;0.2
6064;LV8002;LVT.HOTPOINT WDD 960 G (UK).C (9lar+6th);COP;1;263;263;0.2
6064;LV9098;LVT.HOTPOINT AQ114D 69D E UK ,1600XH,11 KG;COP;1;362;362;0
6064;LV9099;LVT.ARISTON SWMD 8437XR UK ,1400XH ,8KG;COP;21;200;200;0
6064;LV9100;LVT.INDESIT XWDE 861480X W UK ,1400XH ,(8L+6TH);COP;11;242;242;0
6064;LV9101;LVT.ARISTON WDG 9640B FR ,1400XH,(9L+6TH);COP;11;239;239;0
6064;LV8053;LVT.ARISTON AQ92D 497 EX;COP;6;243;243;0.2
6064;LV6272;LVT.HOTPOINT WMFG 1053P UK 10kg,1500xh;COP;1;215;215;0.2
6064;LV9102;LVT.ARISTON AQS62L 09 EU ,1000 XH,6 KG;COP;4;216;216;0
6064;LV9105;LVT.ARISTON AQ8L 092 U (TK) ,1000XH,8KG;COP;2;244;244;0
6064;LV9106;LVT.ARISTON WMSF 602 EU ,1000XH ,6KG;COP;15;197;197;0
6064;LV9107;LVT.HOTPOINT SWMD 10437XR UK ,1400XH,10KG;COP;5;216;216;0
6064;FM1899;MIKROVALE.ARISTON   MWA 212 BK  incaso;COP;1;138;138;0.2
6064;LV9097;LVT.ARISTON AQM9D 490 U (EU)/A ,1400XH ,(9L+6TH);COP;1;285;285;0
6064;LV9087;LVT.ARISTON AQD97D 28 EU/B ,1200 XH,(9L+7TH);COP;1;280.8;280.8;0
6064;FU9104;FU.INDESIT FIMS 73 KC.A IX AUS;COP;4;159;159;0
6064;FU9088;FU.ARISTON OS 89 IX;COP;1;290;290;0
6064;FU9094;FU.INDESIT IF 83 KC.A IX S;COP;8;139;139;0
6064;LV9096;LVT.INDESIT IWC 81282 (FR) ,1200XH,8KG;COP;2;156;156;0
6064;LV8195;LVT.ARISTON WMD 823B EU ,1200XH ,8KG;COP;1;203;203;0.2
6064;LV9103;LVT.INDESIT XWC 81051X WWGG EU ,1000 XH ,8KG;COP;4;194;194;0
6064;FM9095;MIKROVALE. ARISTON MWK 211 K HA;COP;16;140;140;0
6064;LS9091;LVST.ARISTON LFF 8254 EX.R;COP;1;205;205;0
6066;TV8955;LED.NORDMEND NMC032FH ,32TC1700E ,HD,READY;COP;30;138.65;138.65;0.2
6066;USB6443;USB.TDK 4GB 0013 ,MILAN MASCOTTE;COP;5;3;3;0.2
6066;USB7439;USB.TDK 0017 ,16GB;COP;5;7.29;7.29;0.2
6066;USB6445;USB.TDK 8GB 0009 ,FLASH;COP;5;4.85;4.85;0.2
6091;626;Shpz.postare e telekom.;;0;0;0;0.2
6092;TV6863;LED.PANASONIC TX-42AS600EW ,FHD,100HZ;COP;10;325.1;325.1;0.2
6092;TV8542;LED.PANASONIC TX-39AS500E, SMART;COP;10;278.51;278.51;0.2
6093;618;Te ndryshme;;0;0;0;0
6095;LAV9131;LAVAPJAT.PIRAMIS ARIADNE ,inox 2G+1SH djathtas;COP;20;2000;2000;0
6095;LAV9132;LAVAPJAT.PIRAMIS ARIDNE ,inox ,2 gropa;COP;20;2000;2000;0
6096;LV9139;LVT.HOTPOINT WDL 5490 P (UK),1400XH,(7L+5TH);COP;1;240;240;0
6096;LV9140;LVT.INDESIT IWDE 7128 B ECO (EX) ,1200XH ,(7L+5TH);COP;2;257;257;0
6096;LV9090;LVT.ARISTON AQ9L 29 U.1 (AUS) ,1600XH ,10KG;COP;89;199;199;0.2
6096;LV9141;LVT.HOTPOINT WDF 740 P (UK),7KG,1400XH;COP;1;209;209;0
6096;LV6543;LVT.HOTPOINT WDD 960 P (UK).C ,(7larje+5tharje);COP;3;231;231;0.2
6096;FR5099;COMB.HOTPOINT EBM 18220 V,335L,IX,Ven,A+;COP;3;192;192;0.2
6096;THR9142;TH RROBASH.HOTPOINT TCL 73B (UK.C ,7KG);COP;2;170;170;0
6097;PJ9143;PJESE KEMBIMI.BENTY C00294671 ,MBL 2023;COP;1;68;68;0
6098;TO5236;TOST.DCG ST2550 ,mini bistechiera;COP;100;5;5;0.2
6098;TO6429;TOST.DCG ST3300 ,SUPERBISTECHIERA;COP;50;16;16;0.2
6098;PERZ6851;PERZIERES.DCG HM815N ,sbatitore;COP;60;5.5;5.5;0.2
6098;PIAST5252;PIASTER.DCG HC3433 ,qeramik,mini;COP;300;5;5;0.2
6098;PESH6134;PESHORE.DCG PW9016;COP;20;3.9;3.9;0.2
6099;PESH9145;PESHORE.TREVI PR149 ,ELEKTRONIKE;COP;100;5.9;5.9;0
6100;PN2813;PIAN.FRAT-ONO PKC 622 NNG (2g+2k),qeram;COP;100;118;118;0.2
6101;TV9034;LED.TREVI 4001HD00 ,LTV 4001 FHD;COP;50;179;179;0.2
6102;CEL8818;CELULAR.HUAWEI ASCEND G6 ITA WHITE ,HUAG6ITAWH;COP;6;112.3;112.3;0.2
6102;PC9133;LAPTOP.HP 15S103NL ,INTEL 2840N ,DUAL-4GB,IDM-500GB,5400RPM;COP;20;212;212;0
6102;CEL8808;CELULAR.SAMSUNG G355 ,AND4.4,QUADCORE,4.5'';COP;10;100.4;100.4;0.2
6102;CEL7657;CELULAR.SAMSUNG GT-S7390 ,GALAXY TRENDLITE AND4 ,BLACK,SAMS7390ITABK;COP;10;57.3;57.3;0.2
6102;CEL9136;CELULAR.SAMSUNG A3G ,GALAXY A3,SMART,QCORE,4.5';COP;1;215.5;215.5;0
6061;626;Shpz.postare e telekom.;;0;0;0;0
6067;613;Qera/Euro;;1;1050000;1050000;0.2
6068;604;Bl.energji,avull,uje;;0;0;0;0
6069;626;Shpz.postare e telekom.;;0;0;0;0.2
6132;CEL9173;CELULAR.NOKIA LUMIA 630 BLACK ,NOK630ITABK;COP;7;82;82;0
6071;613;Qera;;0;0;0;0.2
6072;613;Qera;;0;0;0;0
6073;613;Qera;;0;0;0;0
6102;CEL9137;CELULAR.SAMSUNG A3S ,GALAXY A3 ,QCORE,SMART,4.5'';COP;1;215.5;215.5;0
6075;624;Reklame, publicitet;;0;0;0;0
6077;604;Bl.energji,avull,uje;;0;0;0;0
6082;608;Te tjera;;0;0;0;0.2
6083;608;Te tjera;;0;0;0;0.2
6084;NAFTE6242;NAFTE;COP;2531;140.8301;140.8301;0.2
6085;616;SIGURIME;;0;0;0;0.2
6086;616;SIGURIME;;0;0;0;0.2
6102;CEL9138;CELULAR.SAMSUNG ACE4 ,QCORE,4.3'',ANDROID;COP;4;128.9;128.9;0
6102;TV7688;LED.SAMSUNG UE40H5500 ,SMART,FHD,100HZ,3HDMI,2USB;COP;1;319.58;319.58;0.2
6132;CEL8366;CELULAR.NOKIA LUMIA 630 ,4.5'',QUADCORE,NOK630ITAW;COP;7;82;82;0.2
6102;TV9135;LED.SONY KDL32R433 ,HD,100HZ,2HDMI,USB;COP;6;197.14;197.14;0
6102;TV8800;LED.SAMSUNG UE32H5303 ,FHD,100HZ,2HDMI,2USB,SMART;COP;15;221.4;221.4;0.2
6102;TAB9134;TABLET.MEDIACOM MP7S2B3G ,WIFI,3G,8GB,2 CAM,AND 4.4;COP;15;58.1;58.1;0
6076;613;Qera;;1;7500;7500;0
6103;TAB9144;TABLET.INNO-HIT IHA-C0826 ,WIFI,8'',2CORE;COP;7;42;42;0
6078;615;Mirembajtje dhe riparime;;0;0;0;0.2
6079;624;Reklame, publicitet;;0;0;0;0.2
6345;617;STUDIME DHE KERKIME;;0;0;0;0
6081;626;Shpz.postare e telekom.;;0;0;0;0.2
6103;TV8956;LED.SABA SBC32HF ,32TD1060E ,HD,READY;COP;98;140;140;0.2
6103;TV8955;LED.NORDMEND NMC032FH ,32TC1700E ,HD,READY;COP;130;140;140;0.2
6121;LV1973;LVT.OQEAN  EU 504  5kg,bardhe,elektr;COP;224;107;107;0.2
6123;634;Taksa dhe tarifa vendore;;0;0;0;0
6124;TV8115;3D LED.SAMSUNG UE40H6400 ,SMART,400HZ,WIFI,4HDMI,3USB;COP;15;394.9333;394.9333;0.2
6124;TV7294;LED.LG 42LB5500;COP;20;260.2;260.2;0.2
6124;TV8797;3D LED.SAMSUNG UE48H6400 ,FHD,400HZ,SMART,4HDMI,3USB;COP;3;479.6666;479.6666;0.2
6124;FU7233;MINI FURRE.DAEWOO DMO-I38UB;COP;10;50;50;0.2
6124;FR7226;COMB.LG GBF-539PVQWB;COP;6;372.45;372.45;0.2
6124;FR7224;COMB.SAMSUNG RB-31FERNDBC ,310L ,DISPLAY;COP;5;308.16;308.16;0.2
6124;FR7227;COMB.SAMSUNG RB-29FSRNDSA;COP;28;267;267;0.2
6124;FR8106;FR.SAMSUNG RT-32FARADSP ,333L,INOX;COP;20;244.9;244.9;0.2
6124;FR8107;FR.SAMSUNG RT-38FDAADSP ,385L,DISP,INOX;COP;5;293.88;293.88;0.2
6124;FR9156;FR.LG GSL-325PVCVD ,SBS,G.UJI,527Lit;COP;3;596.94;596.94;0
6124;FR5221;FR.SAMSUNG RS-A1ZTSL1/EUR,485L;COP;5;619.39;619.39;0.2
6124;LS8092;LVST.ELECTROLUX ESL 4200 LO .45cm;COP;5;222.54;222.54;0.2
6124;TV8997;LED.LG 29MT44D-PZ.AEU;COP;5;147.96;147.96;0.2
6124;PN8083;PIAN.ELECTROLUX EGE6172NOK ,2G+2K,QERAM;COP;20;186.71;186.71;0.2
6124;PN7672;PIAN.ELECTROLUX EHF06240XK ,QERAMIK;COP;35;150.8857;150.8857;0.2
6124;PN9154;PIAN.ELECTROLUX EHF6343FOK ,4K ,QERAM,TOUCH;COP;10;161.75;161.75;0
6124;FU9155;FU.ELECTROLUX EZB3410AOX;COP;30;154.15;154.15;0
6124;HE9153;HEKUR.PHILIPS GC 4410;COP;60;25.84;25.84;0
6124;SHTR7284;SHTRYDHESE.NEO CJ-600 ,AGRUME;COP;20;7.03;7.03;0.2
6125;FU8440;FU.WHIRLPOOL ,INKASO;COP;40;90;90;0.2
6125;FM9157;MIKROVALE.WHIRLPOOL ,inkaso;COP;74;112.5;112.5;0
7108;LV9180;LVT.SAMSUNG WW80J3283KW/LE ,8KG,1200XH;COP;36;250.27;250.27;0.2
7108;LV9659;LVT.SAMSUNG WF80F5E0W2W/LE;COP;9;260.8;260.8;0.2
7082;FR4937;FR.DELUX FD 30 S gri,statik,300 lit;COP;106;110;110;0.2
7082;FR10297;FR.OQEAN CB 290;COP;96;120;120;0.2
7085;LLAMP8231;LLAMPA.LIPER LED ,3w ,45 Wat;COP;241;185;185;0.2
7085;LLAMP8233;LLAMPA.LIPER LED ,7w ,80Wat;COP;281;320;320;0.2
7085;LLAMP8234;LLAMPA.LIPER LED ,9w ,100 Wat;COP;161;350;350;0.2
7085;LLAMP10302;LLAMPA.LIPER LED ,12w ,100 Wat;COP;182;425;425;0.2
7086;LLAMP8231;LLAMPA.LIPER LED ,3w ,45 Wat;COP;135;185;185;0.2
7087;ILAC10303;ILAC RROBASH;COP;50;1708;1708;0.2
7088;ZGJ5765;ZGJATUES.PRIZA FAEG FG19805 ,5V+CELES+KAB 1.5M;COP;30;504;504;0.2
7088;ZGJ6300;ZGJATUES.FAEG  ,6 V ,1.5 M ,FG19400;COP;28;496;496;0.2
7088;ZGJ5761;ZGJATUES.PRIZA FAEG FG19807 ,7V+CELES+KABELL 1.5M,;COP;13;565;565;0.2
7088;ZGJ7481;ZGJATUES.FAEG FG19500 ,9 VENDE ,1.5M KAB;COP;1;677;677;0.2
7088;AD5763;ADAPTOR PRIZA FAEG FG20513 ,TRIPEL SHUKO 16A;COP;120;115;115;0.2
7088;LLAMP10304;LLAMPA.VTC-4174 ,4W E14 P45 4500K;COP;30;161.27;161.27;0.2
7088;LLAMP10305;LLAMPA.VTC-4302 LED 4W E14 FLAKE QIRIU 2700K;COP;2;403.4;403.4;0.2
7089;6271;Transporte per blerje/Euro;;0;0;0;0.2
7091;213;PAJISJE ZJARRI;;0;0;0;0.2
7092;608;ETIKETA PVC;;0;0;0;0.2
7093;6271;Transporte per blerje;;0;0;0;0
7094;608;ELEKTRIKE;;0;0;0;0.2
7095;608;ELEKTRIKE;;0;0;0;0.2
7096;608;"UNIFORMA ";;0;0;0;0.2
7097;626;Shpz.postare e telekom.;;0;0;0;0.2
7098;608;LYERJE AMBJENTI;;0;0;0;0.2
7099;625;Transferime, udhetim, dieta/Euro;;0;0;0;0.2
7100;608;MATERIALE ELEKTRIKE;;0;0;0;0
7101;608;"PARKIM ";;0;0;0;0.2
7102;NAFTE6242;NAFTE;COP;420;120.8333;120.8333;0.2
7082;6271;Transporte per blerje/USD;;0;0;0;0.2
8377;6271;Transporte per blerje/USD;;0;0;0;0.2
7078;PN7509;PIAN.DELONGHI PIN 30 TC ,2K ,qeramik;COP;5;140;140;0.2
7078;PN7508;PIAN.DELONGHI PVG 30 ,2G,qeramik;COP;5;120;120;0.2
7078;SO7510;SO.DELONGHI DEMX 9642 B ,4G+2K ,INOX;COP;10;350;350;0.2
7078;SO6472;SO.DELONGHI DMX 664 V ,qeramik;COP;10;330;330;0.2
7078;FU6268;FURRA.DELONGHI SMS 6, xham.pasq,6funk;COP;15;145;145;0.2
7078;FU6467;FU.DELONGHI SMN 6 ,E ZEZE;COP;50;145;145;0.2
7078;FU6468;FU.DELONGHI CM 9 AV ,AVENA;COP;20;185;185;0.2
7078;FU7505;FU.DELONGHI CM 9 AN;COP;20;185;185;0.2
7078;FU6267;FURRA.DELONGHI BMA 8 e zeze,touch;COP;15;190;190;0.2
7078;FU6266;FURRA.DELONGHI  PMX 6, inox,6funk;COP;20;160;160;0.2
7078;FU6465;FU.DELONGHI DMX 6 ,INOX;COP;9;165;165;0.2
7079;TV9600;LED.LG 43LF590V ,FHD,400PMI,2HDMI,2USB,SMART;COP;12;320.62;320.62;0.2
7079;TV9565;LED.LG 49LF5100 ,FHD,HDMI,USB,300PMI;COP;39;364.87;364.87;0.2
7079;TAB10045;TABLET.ASUS Z170CG1B030A ,7'',WIFI,3G,16GB,AND5;COP;25;104.67;104.67;0.2
7080;TO5236;TOST.DCG ST2550 ,mini bistechiera;COP;500;5;5;0.2
7080;TO10276;TOST.DCG TA8960G ,GREEN;COP;10;13.5;13.5;0.2
7080;TO10277;TOST.DCG TA8960O ,ORANGE;COP;10;13.5;13.5;0.2
7080;TO10278;TOST.DCG TA8960W ,WHITE;COP;10;13.5;13.5;0.2
7080;PERZ5229;PERZIERES.DCG HM9811 mixer,xhytes;COP;400;5;5;0.2
7080;SHTR6532;SHTRYDHESE.DCG ZP3364 ,agrume;COP;2;5;5;0.2
7080;GR6133;GRIRESE.DCG MZ1225 ,200W,tritatitto;COP;30;9;9;0.2
7080;TH FL5255;TH FLOKESH.DCG HTVD7280;COP;300;5.5;5.5;0.2
7080;TH FL5950;TH FLOKESH.DCG HTW1028 ,MURI;COP;20;15;15;0.2
7080;HE4056;HEKUR.DCG  DB8000 ,2300W,kaldaje;COP;138;19;19;0.2
7080;FUR5239;FURNELL.DCG EKP2419 ,nje piaster;COP;20;9;9;0.2
